Reference, Quantity, Value, Footprint, Datasheet, PN, SN-DK
C1 C2 ,2,"100pF","Capacitors_SMD:C_0402","","C0402C101J3GACTU","399-1022-1-ND"
C3 C4 C8 ,3,"1uF","Capacitors_SMD:C_0402","","CGB2A1X5R1E105K033BC","445-13185-1-ND"
C10 C11 C12 C14 C15 C16 C17 C18 C19 C20 C21 C22 C5 C9 ,14,"100nF","Capacitors_SMD:C_0402","","CL05B104KP5NNNC","1276-1002-1-ND"
C13 C6 C7 ,3,"10uF","Capacitors_SMD:C_0603","","C1608X5R1A106K080AC","445-7486-1-ND"
D1 ,1,"LED","LEDs:LED_0603","","APHHS1005SYCK ","754-1105-1-ND"
D2 ,1,"D_TVS_x2_AAC","TO_SOT_Packages_SMD:SOT-23","https://en.wikipedia.org/wiki/Transient-voltage-suppression_diode","PESD5V0U2BT,215","1727-3936-1-ND"
J1 ,1,"JST GH Series","Connectors_JST:JST_GH_BM06B-GHS-TBT_06x1.25mm_Straight","~","BM06B-GHS-TBT(LF)(SN)(N) ","455-1582-1-ND"
J4 ,1,"MicroSD","bosonFrameGrabber:1040310811","~","1040310811"," WM6357CT-ND"
R1 R2 ,2,"100R","Resistors_SMD:R_0402","","RT0402FRE07100RL","YAG3342CT-ND"
R3 R4 ,2,"10k","Resistors_SMD:R_0402","","ERA-2AED103X","P10KDECT-ND"
U1 ,1,"TLV70725","bosonFrameGrabber:X2SON","","TLV70725PDQNT ","296-34993-1-ND"
U3 ,1,"ECP5U25","","","LFE5UM-25F-6MG285C "," LFE5UM-25F-6MG285C-ND "
U4 ,1,"S27KS0641","bosonFrameGrabber:BGA_24","","S27KS0641DPBHI020","428-3858-ND"
U5 ,1,"Boson","","","DF40HC(4.0)-80DS-0.4V(51)","H11919CT-ND"
U6 ,1,"AT25SF081","Housings_DFN_QFN:DFN-8-1EP_3x2mm_Pitch0.5mm","","AT25SF081-MAHD-T","1265-1275-1-ND"
U2 U7 ,2,"SN74LVC1T45","TO_SOT_Packages_SMD:SOT-666","","SN74LVC1T45DRLR","296-20629-1-ND"
U8 ,1,"TLV71718","bosonFrameGrabber:X2SON","","TLV71718PDQNR ","296-36775-1-ND"
U9 ,1,"TLV73311","bosonFrameGrabber:X2SON","","TLV73311PDQNT ","296-38619-1-ND"
X1 ,1,"ASDMB","Oscillators:Oscillator_SMD_SeikoEpson_SG210-4pin_2.5x2.0mm","http://www.abracon.com/Oscillators/ASV.pdf","SIT8008BI-71-18E-24.000000G","1473-30509-1-ND"