Reference, Quantity, Value, Footprint, Datasheet, SN-DK, PN, Mfg
C1 C2 ,2,"100pF","Capacitors_SMD:C_0402","","399-1022-1-ND","C0402C101J3GACTU",""
C23 C24 ,2,"1uF","Capacitors_SMD:C_0603",""," 445-12539-1-ND ","CGA3E1X7R1C105K080AC",""
C3 C4 C8 ,3,"1uF","Capacitors_SMD:C_0402","","445-13185-1-ND","CGB2A1X5R1E105K033BC",""
C10 C11 C12 C14 C15 C16 C17 C18 C19 C20 C21 C22 C5 C9 ,14,"100nF","Capacitors_SMD:C_0402","","1276-1002-1-ND","CL05B104KP5NNNC",""
C13 C6 C7 ,3,"10uF","Capacitors_SMD:C_0603","","445-7486-1-ND","C1608X5R1A106K080AC",""
D1 ,1,"LED","LEDs:LED_0603",""," 754-1105-1-ND "," APHHS1005SYCK ",""
D2 ,1,"D_TVS_x2_AAC","TO_SOT_Packages_SMD:SOT-23","https://en.wikipedia.org/wiki/Transient-voltage-suppression_diode","1727-3936-1-ND","PESD5V0U2BT,215",""
D3 ,1,"D_Schottky_ALT","Diodes_SMD:D_SOD-123F",""," 1N5819HW1-7-FDICT-ND ","",""
J1 J2 ,2,"JST GH Series","Connectors_JST:JST_GH_BM06B-GHS-TBT_06x1.25mm_Straight",""," 455-1582-1-ND "," BM06B-GHS-TBT(LF)(SN)(N) ",""
J4 ,1,"MicroSD","bosonFrameGrabber:1040310811",""," WM6357CT-ND","1040310811",""
J5 ,1,"SlimStack_12P","",""," WM4662CT-ND ","5035481220",""
L1 ,1,"L","Inductors_SMD:L_0603",""," 445-3608-1-ND ","",""
R1 R2 ,2,"100R","Resistors_SMD:R_0402","","YAG3342CT-ND","RT0402FRE07100RL",""
R10 R14 R15 R9 ,4,"47R","Resistors_SMD:R_0402",""," YAG3491CT-ND "," AC0402FR-0747RL ",""
R11 ,1,"1K","Resistors_SMD:R_0402",""," P1.0KJCT-ND "," ERJ-2GEJ102X ",""
R12 R13 R7 R8 ,4,"220R","Resistors_SMD:R_0402",""," YAG3456CT-ND "," AC0402FR-07220RL ",""
R16 R17 R18 R3 R4 ,5,"10k","Resistors_SMD:R_0402","","P10KDECT-ND","ERA-2AED103X",""
R5 ,1,"56k","Resistors_SMD:R_0603",""," RR08P56.0KDCT-ND "," RR0816P-563-D ",""
R6 ,1,"5.1K","Resistors_SMD:R_0603",""," RR08P5.1KDCT-ND "," RR0816P-512-D ",""
SW1 SW2 SW3 ,3,"SW_Push","Buttons_Switches_SMD:SW_SPST_EVQP0",""," P12244SCT-ND "," EVQ-P1K05M ",""
U1 U8 U9 ,3,"TLV733P","bosonFrameGrabber:X2SON",""," 296-38493-1-ND "," TLV73325PDQNT ","Texas Instruments"
U10 ,1,"AP3012","TO_SOT_Packages_SMD:SOT-23-5",""," AP3012KTR-E1DICT-ND "," AP3012KTR-E1 ",""
U3 ,1,"ECP5U25","",""," 220-2052-ND "," LFE5U-25F-6BG381I ","Lattice"
U4 ,1,"S27KS0641","bosonFrameGrabber:BGA_24","","428-3858-ND","S27KS0641DPBHI020",""
U5 ,1,"Boson","","","H11919CT-ND","DF40HC(4.0)-80DS-0.4V(51)",""
U6 ,1,"AT25SF081","Housings_DFN_QFN:DFN-8-1EP_3x2mm_Pitch0.5mm","","1265-1275-1-ND","AT25SF081-MAHD-T",""
U2 U7 ,2,"SN74LVC1T45","TO_SOT_Packages_SMD:SOT-666",""," 296-20629-1-ND ","SN74LVC1T45DRLR","Texas Instruments"
X1 ,1,"ASDMB","Oscillators:Oscillator_SMD_SeikoEpson_SG210-4pin_2.5x2.0mm","http://www.abracon.com/Oscillators/ASV.pdf"," 1473-30509-1-ND "," SIT8008BI-71-18E-24.000000G ",""